what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1328795824557
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328795824557
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1328795824557
java.specification.name,sysinfo,,,"Java Platform API Specification",1328795824557
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328795824557
java.specification.version,sysinfo,,,"1.6",1328795824557
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328795824557
java.version,sysinfo,,,"1.6.0_21",1328795824557
java.vm.info,sysinfo,,,"mixed mode",1328795824557
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328795824557
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328795824557
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328795824557
java.vm.specification.version,sysinfo,,,"1.0",1328795824557
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328795824557
java.vm.version,sysinfo,,,"17.0-b17",1328795824557
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1328795824973
started,bundle,com.google.appengine.eclipse.core,2.4.2.relr37v201110112027,"com.google.appengine.eclipse.core",1328795825453
started,bundle,com.google.gdt.eclipse.platform.shared,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.platform.shared",1328795825479
started,bundle,com.google.gdt.eclipse.platform.e37,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.platform.e37",1328795825480
started,bundle,com.google.gwt.eclipse.core,2.4.2.relr37v201110112027,"com.google.gwt.eclipse.core",1328795825730
started,bundle,com.google.gdt.eclipse.suite,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.suite",1328795825778
started,bundle,com.google.gdt.eclipse.managedapis,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.managedapis",1328795825803
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1328795826307
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110201842,"com.google.gdt.eclipse.designer",1328795826369
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110201842,"com.google.gdt.eclipse.designer.UiBinder",1328795826379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328795852161
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328795900478
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328795900479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328795947770
